Name,Author,User Rating,Reviews,Genre,Price,Year
Fifty Shades Darker,E L James,4.4,23631,Fiction,7,2012
Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition),E L James,4.5,20262,Fiction,11,2012
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,Fiction,14,2012
Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed),E L James,4.5,13964,Fiction,32,2012
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,Fiction,5,2012
Gone Girl,Gillian Flynn,4.0,57271,Fiction,10,2012
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,Non Fiction,14,2012
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,Fiction,7,2012
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,Non Fiction,10,2012
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,Non Fiction,8,2012
Killing Kennedy: The End of Camelot,Bill O'Reilly,4.6,8634,Non Fiction,25,2012
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,Non Fiction,10,2012
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,Fiction,8,2012
No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden,Mark Owen,4.6,8093,Non Fiction,14,2012
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,Fiction,8,2012
One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,4.6,3163,Non Fiction,13,2012
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,Non Fiction,10,2012
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,Non Fiction,46,2012
Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,4.6,10009,Non Fiction,20,2012
Steve Jobs,Walter Isaacson,4.6,7827,Non Fiction,20,2012
StrengthsFinder 2.0,Gallup,4.0,5069,Non Fiction,17,2012
The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,3477,Non Fiction,28,2012
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,9325,Non Fiction,24,2012
The Amateur,Edward Klein,4.6,2580,Non Fiction,9,2012
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!",Mark Hyman M.D.,4.2,1789,Non Fiction,14,2012
The Casual Vacancy,J.K. Rowling,3.3,9372,Fiction,12,2012
The Fault in Our Stars,John Green,4.7,50482,Fiction,13,2012
The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,4.6,3207,Non Fiction,6,2012
The Great Gatsby,F. Scott Fitzgerald,4.4,11616,Fiction,7,2012
The Harbinger: The Ancient Mystery that Holds the Secret of America's Future,Jonathan Cahn,4.6,11098,Fiction,13,2012
The Hunger Games (Book 1),Suzanne Collins,4.7,32122,Fiction,8,2012
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,Fiction,30,2012
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,Non Fiction,9,2012
The Lego Ideas Book: Unlock Your Imagination,Daniel Lipkowitz,4.4,4247,Non Fiction,13,2012
"The Mark of Athena (Heroes of Olympus, Book 3)",Rick Riordan,4.8,6247,Fiction,10,2012
The Official SAT Study Guide,The College Board,4.4,1201,Non Fiction,40,2012
The Pioneer Woman Cooks: Food from My Frontier,Ree Drummond,4.8,2876,Non Fiction,21,2012
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,4.6,10795,Non Fiction,21,2012
The Racketeer,John Grisham,4.3,14493,Fiction,18,2012
"The Serpent's Shadow (The Kane Chronicles, Book 3)",Rick Riordan,4.8,2091,Fiction,12,2012
"The Third Wheel (Diary of a Wimpy Kid, Book 7)",Jeff Kinney,4.7,6377,Fiction,7,2012
"Thinking, Fast and Slow",Daniel Kahneman,4.6,11034,Non Fiction,19,2012
Thomas Jefferson: The Art of Power,Jon Meacham,4.5,1904,Non Fiction,23,2012
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,Non Fiction,16,2012
"Wheat Belly: Lose the Wheat, Lose the Weight, and Find Your Path Back to Health",William Davis,4.4,7497,Non Fiction,6,2012
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,4.4,17044,Non Fiction,18,2012
Winter of the World: Book Two of the Century Trilogy,Ken Follett,4.5,10760,Fiction,15,2012
Allegiant,Veronica Roth,3.9,6310,Fiction,13,2013
And the Mountains Echoed,Khaled Hosseini,4.3,12159,Fiction,13,2013
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,4.8,1329,Non Fiction,10,2013
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,4.4,4642,Non Fiction,13,2013
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5",American Psychiatric Association,4.5,6679,Non Fiction,105,2013
"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,4.8,6812,Fiction,0,2013
Divergent,Veronica Roth,4.6,27098,Fiction,15,2013
Doctor Sleep: A Novel,Stephen King,4.7,15845,Fiction,13,2013
Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series),E L James,3.8,47265,Fiction,14,2013
Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,4.6,5594,Fiction,5,2013
George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,4.6,4799,Non Fiction,16,2013
Gone Girl,Gillian Flynn,4.0,57271,Fiction,10,2013
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)",Sherri Duskey Rinker,4.9,7038,Fiction,7,2013
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander",Phil Robertson,4.8,4148,Non Fiction,11,2013
Humans of New York,Brandon Stanton,4.8,3490,Non Fiction,15,2013
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4.7,4896,Non Fiction,17,2013
Inferno,Dan Brown,4.1,29651,Fiction,14,2013
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,Non Fiction,8,2013
Joyland (Hard Case Crime),Stephen King,4.5,4748,Fiction,12,2013
Killing Jesus (Bill O'Reilly's Killing Series),Bill O'Reilly,4.5,11391,Non Fiction,12,2013
Knock-Knock Jokes for Kids,Rob Elliott,4.5,3673,Non Fiction,4,2013
Laugh-Out-Loud Jokes for Kids,Rob Elliott,4.6,6990,Non Fiction,4,2013
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.5,6132,Non Fiction,13,2013
"Oh, the Places You'll Go!",Dr. Seuss,4.9,21834,Fiction,8,2013
Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,4.3,13616,Non Fiction,10,2013
